"","web_date","type","desc_title","proposal_id","proposal_link","period","status","proposal_filename"
"1","28.09.1999","BRA","Bundesrechnungsabschluß für das Jahr 1998","III-205 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/III/III_00205/index.shtml","XX","1","XX_III205dB"
"2","03.09.1999","RV","Verfassungsgerichtshofgesetz, Verwaltungsgerichtshofgesetz u.a., Änderung","576 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_00576/index.shtml","XX","5","XX_576dB"
"3","03.09.1999","RV","Kabel- und Satelliten-Rundfunkgesetz","500 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_00500/index.shtml","XX","5","XX_500dB"
"4","17.08.1999","BUA","Lebensmittelgesetz 1975, Änderung","2081 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02081/index.shtml","XX","5","XX_2081dB"
"5","17.08.1999","A","Regionalradiogesetz, Änderung","1162/A","https://www.parlament.gv.at/PAKT/VHG/XX/A/A_01162/index.shtml","XX","5","XX_1162A"
"6","13.08.1999","BUA","Bundesverfasungsgesetz für ein atomfreies Österreich","2026 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02026/index.shtml","XX","5","XX_2026dB"
"7","13.08.1999","BUA","Bundesverfassungsgesetzes, mit dem das Bundes-Verfassungsgesetz geändert wird","1947 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01947/index.shtml","XX","5","XX_1947dB"
"8","30.07.1999","BUA","Übernahmegesetz","2067 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02067/index.shtml","XX","5","XX_2067dB"
"9","30.07.1999","BUA","Telekommunikationsgesetz","2064 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02064/index.shtml","XX","5","XX_2064dB"
"10","30.07.1999","BUA","Bundesgesetzes über die Hemmung des Fristenablaufs durch den 31. Dezember 1999","2063 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02063/index.shtml","XX","5","XX_2063dB"
"11","30.07.1999","BUA","(Wohnrechtsnovelle 1999 - WRN 1999 )","2056 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02056/index.shtml","XX","5","XX_2056dB"
"12","30.07.1999","RV","Signaturgesetz - SigG","1999 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01999/index.shtml","XX","5","XX_1999dB"
"13","30.07.1999","RV","Fernabsatz-Gesetz","1998 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01998/index.shtml","XX","5","XX_1998dB"
"14","30.07.1999","RV","Bundesstraßengesetz 1971, Änderung","1969 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01969/index.shtml","XX","5","XX_1969dB"
"15","30.07.1999","RV","Land- und forstwirtschaftliche Bundesschulgesetz, Änderung","1913 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01913/index.shtml","XX","5","XX_1913dB"
"16","30.07.1999","RV","Aktiengesetz, Handelsgesetzbuch u.a., Änderung","1902 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01902/index.shtml","XX","5","XX_1902dB"
"17","30.07.1999","RV","Notifikationsgesetz 1999 - NotifG 1999","1898 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01898/index.shtml","XX","5","XX_1898dB"
"18","30.07.1999","RV","Denkmalschutzgesetz - DMSG, Änderung","1769 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01769/index.shtml","XX","5","XX_1769dB"
"19","30.07.1999","A","Mineralrohstoffgesetz, Änderung","1170/A","https://www.parlament.gv.at/PAKT/VHG/XX/A/A_01170/index.shtml","XX","5","XX_1170A"
"20","29.07.1999","BUA","Hydrographiegesetz","2080 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02080/index.shtml","XX","5","XX_2080dB"
"21","29.07.1999","BUA","Entwurf eines Bundesgesetzes, mit dem das Versicherungsvertragsgesetz 1958 geändert wird","2029 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02029/index.shtml","XX","5","XX_2029dB"
"22","29.07.1999","BUA","Fonds zur Finanzierung der ""In-vitro-Fertilisation"" eingerichtet wird (IVF-Fonds-Gesetz)","2010 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02010/index.shtml","XX","5","XX_2010dB"
"23","29.07.1999","RV","Universitäts-Studiengesetz, Änderung","1997 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01997/index.shtml","XX","5","XX_1997dB"
"24","29.07.1999","RV","Tierversuchsgesetz 1988, Änderung","1973 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01973/index.shtml","XX","5","XX_1973dB"
"25","29.07.1999","BUA","Bundesgesetz, mit dem das AMA-Gesetz 1992 geändert wird","1944 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01944/index.shtml","XX","5","XX_1944dB"
"26","29.07.1999","RV","Universitäts-Akkreditierungsgesetz - UniAkkG","1914 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01914/index.shtml","XX","5","XX_1914dB"
"27","29.07.1999","RV","Beamten-Kranken- und Unfallversicherungsgesetz (27. Novelle zum B-KUVG), Karenzgeldgesetz, Änderung","1912 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01912/index.shtml","XX","5","XX_1912dB"
"28","29.07.1999","RV","Bauern-Sozialversicherungsgesetz, Änderung (23. Novelle zum BSVG)","1911 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01911/index.shtml","XX","5","XX_1911dB"
"29","29.07.1999","RV","Gewerbliches Sozialversicherungsgesetz, Änderung (24. Novelle zum GSVG)","1910 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01910/index.shtml","XX","5","XX_1910dB"
"30","29.07.1999","RV","Allgemeines Sozialversicherungsgesetzs, Änderung (57. Novelle zum ASVG)","1909 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01909/index.shtml","XX","5","XX_1909dB"
"31","29.07.1999","RV","Bundesgesetz betr. die Veräußerung der Anteile des Bundes an der Timmelsjoch-Hochalpenstraße - Aktiengesellschaft","1906 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01906/index.shtml","XX","5","XX_1906dB"
"32","29.07.1999","RV","Bundesarchivgesetz","1897 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01897/index.shtml","XX","5","XX_1897dB"
"33","29.07.1999","RV","Bundesbehindertengesetz, Änderung","1857 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01857/index.shtml","XX","5","XX_1857dB"
"34","29.07.1999","RV","Bundesgesetz betreffend die Übertragung des Bundesanteils an der Olympia-Eissportzentrum Innsbruck Ges.m.b.H. sowie die Übertragung von unbeweglichem Bundesvermögen","1855 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01855/index.shtml","XX","5","XX_1855dB"
"35","29.07.1999","RV","Glücksspielgesetz, Bundes-Sportförderungsgesetz, Änderung","1854 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01854/index.shtml","XX","5","XX_1854dB"
"36","29.07.1999","RV","Schienenverkehrsmarkt-Regulierungsgesetz","1835 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01835/index.shtml","XX","5","XX_1835dB"
"37","29.07.1999","RV","Bundesstatistikgesetz 2000","1830 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01830/index.shtml","XX","5","XX_1830dB"
"38","29.07.1999","RV","Erstes Bundesrechtsbereinigungsgesetz - 1. BRBG","1811 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01811/index.shtml","XX","5","XX_1811dB"
"39","29.07.1999","RV","Allgemeines Sozialversicherungsgesetz, Änderung (56. Novelle zum ASVG)","1776 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01776/index.shtml","XX","5","XX_1776dB"
"40","29.07.1999","RV","Mutterschutzgesetz 1979, Eltern-Karenzurlaubsgesetz u.a., Änderung","1768 d.B.","https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01768/index.shtml","XX","5","XX_1768dB"
