"","web_date","type","desc_title","proposal_id","proposal_link","period","status","proposal_filename"
"1","20.04.2005","A","Verfassungsgerichtshofgesetz, Änderung","234/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00234/index.shtml","XXI","beschlossen","XXI_234A"
"2","04.12.2002","RV","Besoldungs-Novelle 2003","1292 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_01292/index.shtml","XXI","nicht beschlossen","XXI_1292dB"
"3","09.10.2002","VOLKBG","Volksbegehren gegen Abfangjäger","1291 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_01291/index.shtml","XXI","nicht beschlossen","XXI_1291dB"
"4","26.09.2002","BRA","Bundesrechnungsabschluss für das Jahr 2001","III-166 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/III/III_00166/index.shtml","XXI","nicht beschlossen","XXI_III166dB"
"5","26.09.2002","BUA","Bundesgesetz, mit dem eine Gerichtgebührenbefreiung im Zusammenhang mit der Hochwasserhilfe gewährt wird; Glücksspielgesetz, Wasserrechtsgesetz, Änderung","1286 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_01286/index.shtml","XXI","beschlossen","XXI_1286dB"
"6","26.09.2002","RV","Hochwasseropferentschädigungs- und Wiederaufbau-Gesetz 2002 - HWG 2002; Katastrophenfondsgesetz, Bundesfinanzgesetz u.a., Änderung","1277 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_01277/index.shtml","XXI","beschlossen","XXI_1277dB"
"7","26.09.2002","RV","Rechtsstellung von Einrichtungen der OSZE in Österreich, Änderung","1219 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_01219/index.shtml","XXI","beschlossen","XXI_1219dB"
"8","26.09.2002","A","Jugendausbildungs-Sicherungsgesetz, Arbeitsmarktpolitik-Finanzierungsgesetz u.a., Änderung","754/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00754/index.shtml","XXI","beschlossen","XXI_754A"
"9","26.09.2002","A","Bundesgesetz, mit dem die XXI. Gesetzgebungsperiode des Nationalrates vorzeitig beendet wird","751/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00751/index.shtml","XXI","beschlossen","XXI_751A"
"10","19.09.2002","RV","Postgesetz, Änderung","1288 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_01288/index.shtml","XXI","nicht beschlossen","XXI_1288dB"
"11","19.09.2002","RV","Kundmachungsreformgesetz 2003","1280 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_01280/index.shtml","XXI","nicht beschlossen","XXI_1280dB"
"12","19.09.2002","RV","Musterschutzgesetz, Änderung (Musterschutzgesetz-Novelle 2002)","1278 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_01278/index.shtml","XXI","nicht beschlossen","XXI_1278dB"
"13","19.09.2002","A","Bundesgesetz zur Rehabilitierung der Opfer der NS-Militärjustiz","753/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00753/index.shtml","XXI","nicht beschlossen","XXI_753A"
