"","web_date","type","desc_title","proposal_id","proposal_link","period","status","proposal_filename"
"1","25.10.2017","RV","Bankwesengesetz, Investmentfondsgesetz u.a., Änderung","1775 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_01775/index.shtml","XXV",5,"XXV_1775dB"
"2","25.10.2017","RV","Bankwesengesetz, Bundesgesetz über die Wertpapier- u. allgemeinen Warenbörsen u.a., Änderung","1774 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_01774/index.shtml","XXV",5,"XXV_1774dB"
"3","25.10.2017","RV","Pensionsanpassungsgesetz 2018 – PAG 2018","1767 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_01767/index.shtml","XXV",5,"XXV_1767dB"
"4","25.10.2017","A","Behinderteneinstellungsgesetz, Bundes-Behindertengleichstellungsgesetz u.a., Änderung","2309/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02309/index.shtml","XXV",5,"XXV_2309A"
"5","25.10.2017","A","Freiwilligengesetz, Familienlastenausgleichsgesetz, Änderung","2308/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02308/index.shtml","XXV",5,"XXV_2308A"
"6","25.10.2017","A","Kriegsopferversorgungsgesetz, Opferfürsorgegesetz u.a., Änderung","2307/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02307/index.shtml","XXV",5,"XXV_2307A"
"7","25.10.2017","A","Angestelltengesetz, Gutangestelltengesetz u.a., Änderung","2306/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02306/index.shtml","XXV",5,"XXV_2306A"
"8","25.10.2017","A","Insolvenz-Entgeltsicherungsgesetz, Berufsausbildungsgesetz, Änderung","2304/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02304/index.shtml","XXV",5,"XXV_2304A"
"9","25.10.2017","A","Gebührengesetz 1957, Änderung","2299/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02299/index.shtml","XXV",5,"XXV_2299A"
"10","25.10.2017","A","Tierschutzgesetz, Änderung","2286/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02286/index.shtml","XXV",5,"XXV_2286A"
"11","25.10.2017","A","Verbraucherzahlungskontogesetz, Änderung","2284/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02284/index.shtml","XXV",5,"XXV_2284A"
"12","25.10.2017","A","Arbeitslosenversicherungsgesetz, Änderung","1366/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_01366/index.shtml","XXV",5,"XXV_1366A"
"13","12.10.2017","VOLKBG","Gegen TTIP / CETA","1608 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_01608/index.shtml","XXV",5,"XXV_1608dB"
"14","12.10.2017","A","Bundes-Verfassungsgesetz, Bundesverfassungsgesetz über Ermächtigungen des Österreichischen Gemeindebundes und des Österreichischen Städtebundes, Änderung","2323/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02323/index.shtml","XXV",4,"XXV_2323A"
"15","12.10.2017","A","Einkommensteuergesetz, Änderung","412/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_00412/index.shtml","XXV",2,"XXV_412A"
"16","05.10.2017","BRA","Bundesrechnungsabschluss für das Jahr 2016","III-401 und Zu III-401 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/III/III_00401/index.shtml","XXV",5,"XXV_III401undZuIII401dB"
"17","05.10.2017","RV","Zukunftsfonds-Gesetz, Änderung","1766 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_01766/index.shtml","XXV",5,"XXV_1766dB"
"18","05.10.2017","A","Fremdenrechtsänderungsgesetz 2017 - FrÄG 2017","2285/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02285/index.shtml","XXV",5,"XXV_2285A"
"19","05.10.2017","A","Einkommensteuergesetz, Körperschaftsteuergesetz u.a, Änderung","2280/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02280/index.shtml","XXV",5,"XXV_2280A"
"20","05.10.2017","A","Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus, Änderung","2270/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02270/index.shtml","XXV",5,"XXV_2270A"
"21","05.10.2017","A","Wohnbauförderungsbeitragsgesetz; Einkommensteuergesetz, Finanzausgleichsgesetz, Änderung","2269/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02269/index.shtml","XXV",5,"XXV_2269A"
"22","04.10.2017","A","Unterhaltsvorschußgesetz, Änderung","2330/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02330/index.shtml","XXV",2,"XXV_2330A"
"23","04.10.2017","A","Unterhaltszuschussgesetz; Familienlastenausgleichsgesetz, Einkommenssteuergesetz, Änderung","2329/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02329/index.shtml","XXV",2,"XXV_2329A"
"24","04.10.2017","A","Bundes-Verfassungsgesetz, Änderung","2325/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02325/index.shtml","XXV",2,"XXV_2325A"
"25","04.10.2017","A","Bundes-Verfassungsgesetz, Änderung","2324/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02324/index.shtml","XXV",2,"XXV_2324A"
"26","04.10.2017","A","Unterhaltsgarantiegesetz, Änderung","2322/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02322/index.shtml","XXV",2,"XXV_2322A"
"27","04.10.2017","A","Versicherungsvertragsgesetz, Konsumentenschutzgesetz, Änderung","2319/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02319/index.shtml","XXV",2,"XXV_2319A"
"28","04.10.2017","A","Bundes-Verfassungsgesetz, Änderung","2318/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02318/index.shtml","XXV",2,"XXV_2318A"
"29","04.10.2017","A","Maklergesetz, Änderung","2316/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02316/index.shtml","XXV",2,"XXV_2316A"
"30","04.10.2017","A","Maklergesetz, Änderung","2315/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02315/index.shtml","XXV",2,"XXV_2315A"
"31","04.10.2017","A","Wohnungsgemeinnützigkeitsgesetz, Änderung","2314/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02314/index.shtml","XXV",2,"XXV_2314A"
"32","04.10.2017","A","Wohnungsgemeinnützigkeitsgesetz, Änderung (WGG-Novelle 2017)","2313/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02313/index.shtml","XXV",2,"XXV_2313A"
"33","04.10.2017","A","Bundesmuseen-Gesetz, Änderung","2310/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02310/index.shtml","XXV",2,"XXV_2310A"
"34","04.10.2017","A","Angestelltengesetz, Gutsangestelltengesetz u.a., Änderung","2305/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02305/index.shtml","XXV",2,"XXV_2305A"
"35","04.10.2017","A","Tabak- und Nichtraucherinnen- bzw. Nichtraucherschutzgesetz, Änderung","2300/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02300/index.shtml","XXV",2,"XXV_2300A"
"36","04.10.2017","A","Bundes-Verfassungsgesetz, Rechnungshofgesetz, Änderung","2277/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02277/index.shtml","XXV",2,"XXV_2277A"
"37","04.10.2017","A","Bundes-Verfassungsgesetz, Rechnungshofgesetz, Änderung","2276/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02276/index.shtml","XXV",2,"XXV_2276A"
"38","04.10.2017","A","Rechnungshofgesetz, Änderung","2275/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02275/index.shtml","XXV",2,"XXV_2275A"
"39","04.10.2017","A","Bundes-Verfassungsgesetz, Änderung","2272/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02272/index.shtml","XXV",2,"XXV_2272A"
"40","04.10.2017","A","Klimaschutzgesetz, Änderung","2217/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02217/index.shtml","XXV",2,"XXV_2217A"
"41","03.10.2017","A","Bundes-Umweltrechtschutzgesetz - BURG","2223/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02223/index.shtml","XXV",2,"XXV_2223A"
"42","20.09.2017","RV","Vergaberechtsreformgesetz 2017","1658 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_01658/index.shtml","XXV",2,"XXV_1658dB"
"43","20.09.2017","A","Klubfinanzierungsgesetz, Änderung","2320/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02320/index.shtml","XXV",2,"XXV_2320A"
"44","20.09.2017","A","Gebührengesetz, Änderung","2317/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02317/index.shtml","XXV",2,"XXV_2317A"
"45","20.09.2017","A","Volksgruppengesetz, Änderung","2297/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02297/index.shtml","XXV",2,"XXV_2297A"
"46","20.09.2017","A","Gruppenverfahrengesetz","2296/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02296/index.shtml","XXV",2,"XXV_2296A"
"47","20.09.2017","A","Begrenzung von Bezügen öffentlicher Funktionäre, Bezügegesetz, Änderung","2293/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02293/index.shtml","XXV",2,"XXV_2293A"
"48","20.09.2017","A","Tierschutzgesetz, Änderung","2291/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02291/index.shtml","XXV",2,"XXV_2291A"
"49","20.09.2017","A","Tierschutzgesetz, Änderung","2289/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02289/index.shtml","XXV",2,"XXV_2289A"
"50","20.09.2017","A","Kraftfahrgesetz, Änderung","2287/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02287/index.shtml","XXV",2,"XXV_2287A"
"51","20.09.2017","A","Wohnrechtsnovelle 2017","2273/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02273/index.shtml","XXV",2,"XXV_2273A"
"52","20.09.2017","A","Urlaubsgesetz, Änderung","2192/A","https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02192/index.shtml","XXV",2,"XXV_2192A"
